alias	fi	t	cdx	cdy	mag	regOK	frameW	frameH	boxW	boxH	mean
BND2_L6	30	6.200	-0.00000	0.00000	0.00000	1	270	480	0.333	0.219	0.565
BND2_L6	31	6.400	-0.00000	0.00000	0.00000	1	270	480	0.333	0.229	0.569
BND2_L6	32	6.600	-0.00000	0.00000	0.00000	1	270	480	0.326	0.229	0.569
BND2_L6	33	6.800	-0.00000	0.00000	0.00000	1	270	480	0.319	0.227	0.569
BND2_L6	34	7.000	-0.00000	0.00000	0.00000	1	270	480	0.307	0.229	0.573
BND2_L6	35	7.200	0.02963	0.00000	0.02963	1	270	480	0.267	0.244	0.576
BND2_L6	36	7.400	-0.00000	0.00000	0.00000	1	270	480	0.233	0.256	0.580
BND2_L6	37	7.600	-0.00000	0.00000	0.00000	1	270	480	0.193	0.308	0.588
BND2_L6	38	7.800	-0.00000	0.00000	0.00000	1	270	480	0.141	0.277	0.596
BND2_L6	39	8.000	-0.00000	0.00000	0.00000	1	270	480	0.144	0.225	0.596
BND2_L6	40	8.200	-0.00000	0.00000	0.00000	1	270	480	0.181	0.206	0.596
BND2_L6	41	8.400	-0.00000	0.00000	0.00000	1	270	480	0.200	0.194	0.600
BND2_L6	42	8.600	-0.00000	0.00000	0.00000	1	270	480	0.252	0.150	0.600
BND2_L6	43	8.800	-0.01481	0.00000	0.01481	1	270	480	0.237	0.129	0.600
BND2_L6	44	9.000	-0.00000	0.00000	0.00000	1	270	480	0.141	0.121	0.604
BND2_L6	45	9.200	-0.00000	0.00000	0.00000	1	270	480	0.133	0.115	0.604
BND2_L6	46	9.398	-0.00000	0.00000	0.00000	1	270	480	0.122	0.119	0.604
BND2_L6	47	9.598	-0.00000	0.00000	0.00000	1	270	480	0.133	0.131	0.608
BND2_L6	48	9.798	-0.00000	0.00000	0.00000	1	270	480	0.126	0.144	0.608
BND2_L6	49	9.998	0.02222	0.00000	0.02222	1	270	480	0.119	0.148	0.604
BND2_L6	50	10.198	-0.00000	0.00000	0.00000	1	270	480	0.130	0.152	0.600
BND2_L6	51	10.398	0.02222	0.00000	0.02222	1	270	480	0.107	0.158	0.596
BND2_L6	52	10.598	-0.00000	0.00000	0.00000	1	270	480	0.137	0.160	0.592
BND2_L6	53	10.798	-0.00000	0.00000	0.00000	1	270	480	0.126	0.160	0.592
BND2_L6	54	10.998	-0.00000	0.00000	0.00000	1	270	480	0.144	0.169	0.592
BND2_L6	55	11.198	-0.00000	0.00000	0.00000	1	270	480	0.204	0.173	0.592
BND2_L6	56	11.398	-0.00000	0.00000	0.00000	1	270	480	0.144	0.171	0.592
BND2_L6	57	11.598	-0.00000	0.00000	0.00000	1	270	480	0.215	0.165	0.584
BND2_L6	58	11.798	-0.00000	0.00000	0.00000	1	270	480	0.215	0.165	0.584
BND2_L6	59	11.998	-0.00000	0.00000	0.00000	1	270	480	0.219	0.177	0.580
BND2_L6	60	12.198	-0.00000	0.00000	0.00000	1	270	480	0.144	0.194	0.584
BND2_L6	61	12.398	-0.00000	0.00000	0.00000	1	270	480	0.119	0.210	0.584
BND2_L6	62	12.598	-0.00000	0.00000	0.00000	1	270	480	0.115	0.225	0.588
BND2_L6	63	12.798	-0.00000	0.00000	0.00000	1	270	480	0.115	0.223	0.588
BND2_L6	64	12.998	-0.00000	0.00000	0.00000	1	270	480	0.170	0.206	0.588
BND2_L6	65	13.198	-0.00000	0.00000	0.00000	1	270	480	0.167	0.200	0.588
BND2_L6	66	13.398	-0.00000	0.00000	0.00000	1	270	480	0.204	0.179	0.588
BND2_L6	67	13.598	-0.00000	0.00000	0.00000	1	270	480	0.200	0.181	0.592
BND2_L6	68	13.798	-0.00000	0.00000	0.00000	1	270	480	0.207	0.179	0.596
BND2_L6	69	13.998	-0.00000	0.00000	0.00000	1	270	480	0.196	0.156	0.600
BND2_L6	70	14.198	-0.00000	0.00000	0.00000	1	270	480	0.178	0.150	0.600
BND2_L6	71	14.398	-0.00000	0.00000	0.00000	1	270	480	0.159	0.148	0.604
BND2_L6	72	14.598	-0.00000	0.69167	0.69167	0	270	480	0.174	0.138	0.604
BND2_L6	73	14.798	-0.00000	0.00000	0.00000	1	270	480	0.159	0.129	0.608
BND2_L6	74	14.998	-0.02222	0.00000	0.02222	1	270	480	0.152	0.121	0.612
BND2_L6	75	15.198	-0.00000	0.00000	0.00000	1	270	480	0.119	0.133	0.616
BND2_L6	76	15.398	-0.00000	0.00000	0.00000	1	270	480	0.141	0.142	0.616
BND2_L6	77	15.598	-0.00000	0.00000	0.00000	1	270	480	0.148	0.127	0.616
BND2_L6	78	15.798	-0.02222	0.00000	0.02222	1	270	480	0.133	0.125	0.612
BND2_L6	79	15.998	-0.01481	0.00208	0.01496	1	270	480	0.107	0.133	0.616
BND2_L6	80	16.198	-0.01111	0.00208	0.01130	1	270	480	0.122	0.123	0.620
BND2_L6	81	16.398	-0.00741	0.00208	0.00769	1	270	480	0.081	0.121	0.624
BND2_L6	82	16.598	-0.01111	0.00208	0.01130	1	270	480	0.122	0.144	0.620
BND2_L6	83	16.798	-0.05185	0.00208	0.05189	1	270	480	0.074	0.133	0.616
BND2_L6	84	16.998	-0.00370	0.00208	0.00425	1	270	480	0.056	0.133	0.620
BND2_L6	85	17.198	-0.00000	0.00000	0.00000	1	270	480	0.089	0.138	0.620
BND2_L6	86	17.398	-0.00000	0.00000	0.00000	1	270	480	0.096	0.135	0.620
BND2_L6	87	17.598	-0.00370	0.00000	0.00370	1	270	480	0.067	0.144	0.620
BND2_L6	88	17.798	0.00370	0.00000	0.00370	1	270	480	0.067	0.144	0.620
BND2_L6	89	17.998	0.00370	0.00000	0.00370	1	270	480	0.063	0.144	0.620
BND2_L6	90	18.198	-0.00000	0.00000	0.00000	1	270	480	0.078	0.142	0.620
BND2_L6	91	18.398	-0.00000	-0.00208	0.00208	1	270	480	0.100	0.138	0.616
BND2_L6	92	18.598	-0.00000	-0.00208	0.00208	1	270	480	0.119	0.133	0.616
BND2_L6	93	18.798	-0.00000	-0.00208	0.00208	1	270	480	0.137	0.127	0.616
BND2_L6	94	18.998	0.00741	-0.00208	0.00769	1	270	480	0.159	0.148	0.616
BND2_L6	95	19.598	0.75185	0.64167	0.98844	0	270	480	0.178	0.138	0.616
BND2_L6	98	19.798	0.04074	-0.01875	0.04485	1	270	480	0.178	0.202	0.541
BND2_L6	99	19.998	-0.00370	0.00000	0.00370	1	270	480	0.081	0.123	0.557
BND2_L6	100	20.198	-0.03704	0.00000	0.03704	1	270	480	0.089	0.133	0.561
BND2_L6	101	20.398	-0.03333	-0.01042	0.03492	1	270	480	0.089	0.142	0.565
BND2_L6	102	20.598	-0.00000	-0.01250	0.01250	1	270	480	0.085	0.140	0.565
BND2_L6	103	20.798	-0.00000	-0.00833	0.00833	1	270	480	0.122	0.133	0.569
BND2_L6	104	20.998	-0.51481	0.00000	0.51481	0	270	480	0.104	0.158	0.569
BND2_L6	105	21.198	-0.00000	0.00000	0.00000	1	270	480	0.130	0.150	0.569
BND2_L6	106	21.398	-0.00000	-0.01042	0.01042	1	270	480	0.107	0.156	0.569
BND2_L6	107	21.598	-0.00000	-0.01458	0.01458	1	270	480	0.133	0.165	0.569
BND2_L6	108	21.798	-0.02222	-0.02292	0.03192	1	270	480	0.185	0.110	0.561
BND2_L6	109	21.998	-0.01852	-0.02917	0.03455	1	270	480	0.222	0.127	0.565
BND2_L6	110	22.198	-0.01852	-0.03333	0.03813	1	270	480	0.222	0.154	0.569
BND2_L6	111	23.198	-0.75185	0.05000	0.75351	0	270	480	0.263	0.142	0.565
BND2_L6	116	23.398	0.74815	0.01458	0.74829	0	270	480	0.193	0.204	0.518
BND2_L6	117	23.598	-0.03333	-0.00833	0.03436	1	270	480	0.181	0.240	0.490
BND2_L6	118	23.798	0.03333	0.01458	0.03638	1	270	480	0.207	0.263	0.506
BND2_L6	119	23.998	0.06296	0.00000	0.06296	1	270	480	0.181	0.285	0.506
BND2_L6	120	24.198	-0.00000	0.00000	0.00000	1	270	480	0.178	0.290	0.514
BND2_L6	121	24.398	-0.05926	-0.01458	0.06103	1	270	480	0.207	0.269	0.525
BND2_L6	122	24.598	-0.02963	0.00000	0.02963	1	270	480	0.189	0.281	0.533
BND2_L6	123	24.798	-0.04815	0.00000	0.04815	1	270	480	0.304	0.269	0.525
BND2_L6	124	24.998	-0.00000	0.00000	0.00000	1	270	480	0.344	0.244	0.514
BND2_L6	125	25.198	0.02963	0.00000	0.02963	1	270	480	0.359	0.208	0.514
BND2_L6	126	25.398	0.14815	-0.01458	0.14886	1	270	480	0.315	0.127	0.518
BND2_L6	127	27.198	-0.45185	0.14167	0.47354	0	270	480	0.178	0.146	0.525
BND2_L6	136	27.398	0.68889	0.00833	0.68894	0	270	480	0.304	0.537	0.529
BND2_L6	137	27.598	-0.13333	0.00833	0.13359	1	270	480	0.407	0.515	0.525
BND2_L6	138	27.798	0.05556	-0.00417	0.05571	1	270	480	0.519	0.490	0.522
BND2_L6	139	27.998	0.08519	-0.01042	0.08582	1	270	480	0.496	0.390	0.514
BND2_L6	140	28.198	-0.00741	-0.01250	0.01453	1	270	480	0.500	0.381	0.525
BND2_L6	141	28.398	-0.03333	-0.01042	0.03492	1	270	480	0.367	0.327	0.525
BND2_L6	142	29.998	0.35926	-0.22708	0.42501	0	270	480	0.385	0.219	0.529
BND2_L6	150	30.198	0.52222	0.00000	0.52222	0	270	480	0.319	0.456	0.561
BND2_L6	151	30.398	0.04444	0.00000	0.04444	1	270	480	0.404	0.456	0.553
BND2_L6	152	30.598	-0.00000	0.00000	0.00000	1	270	480	0.456	0.446	0.549
BND2_L6	153	30.798	-0.00000	0.00000	0.00000	1	270	480	0.463	0.496	0.541
BND2_L6	154	30.998	-0.00000	0.00000	0.00000	1	270	480	0.381	0.496	0.533
BND2_L6	155	31.198	-0.00000	0.00000	0.00000	1	270	480	0.300	0.479	0.541
BND2_L6	156	31.398	-0.00000	0.00000	0.00000	1	270	480	0.296	0.421	0.545
BND2_L6	157	31.598	-0.00000	0.00000	0.00000	1	270	480	0.252	0.442	0.557
BND2_L6	158	31.798	-0.00000	0.00000	0.00000	1	270	480	0.215	0.392	0.565
BND2_L6	159	31.998	-0.05556	0.00000	0.05556	1	270	480	0.230	0.331	0.569
BND2_L6	160	32.198	-0.04444	0.00000	0.04444	1	270	480	0.211	0.277	0.569
BND2_L6	161	32.398	-0.03704	0.00000	0.03704	1	270	480	0.163	0.177	0.576
BND2_L6	162	32.598	-0.02222	0.00000	0.02222	1	270	480	0.181	0.208	0.573
BND2_L6	163	32.798	-0.00000	0.00000	0.00000	1	270	480	0.178	0.185	0.576
BND2_L6	164	32.998	-0.00000	0.00000	0.00000	1	270	480	0.159	0.175	0.573
BND2_L6	165	33.198	-0.00000	0.00000	0.00000	1	270	480	0.144	0.158	0.576
BND2_L6	166	33.398	0.01852	0.00000	0.01852	1	270	480	0.130	0.135	0.576
BND2_L6	167	33.598	0.02593	0.00000	0.02593	1	270	480	0.119	0.138	0.576
BND2_L6	168	33.798	0.02963	0.00000	0.02963	1	270	480	0.122	0.127	0.576
BND2_L6	169	33.998	0.02963	0.00000	0.02963	1	270	480	0.104	0.119	0.576
BND2_L6	170	34.198	-0.00000	0.00000	0.00000	1	270	480	0.096	0.117	0.573
BND2_L6	171	34.398	0.03333	0.00000	0.03333	1	270	480	0.107	0.121	0.573
BND2_L6	172	34.598	-0.00000	0.00000	0.00000	1	270	480	0.081	0.127	0.569
BND2_L6	173	34.798	-0.00000	0.00000	0.00000	1	270	480	0.096	0.131	0.565
BND2_L6	174	34.998	-0.00000	0.00000	0.00000	1	270	480	0.104	0.138	0.565
BND2_L6	175	35.198	-0.00000	0.00000	0.00000	1	270	480	0.089	0.150	0.565
BND2_L6	176	35.398	-0.00000	0.00000	0.00000	1	270	480	0.104	0.177	0.565
BND2_L6	177	35.598	-0.00000	0.00000	0.00000	1	270	480	0.107	0.194	0.565
BND2_L6	178	35.798	-0.01852	0.00000	0.01852	1	270	480	0.100	0.200	0.569
BND2_L6	179	35.998	-0.05185	0.00000	0.05185	1	270	480	0.159	0.169	0.573
BND2_L6	180	36.198	-0.06667	0.00000	0.06667	1	270	480	0.119	0.181	0.576
BND2_L6	181	36.398	-0.09259	0.00000	0.09259	1	270	480	0.163	0.183	0.576
BND2_L6	182	36.598	-0.09259	0.00000	0.09259	1	270	480	0.144	0.154	0.576
BND2_L6	183	36.798	-0.11481	0.00000	0.11481	1	270	480	0.133	0.144	0.576
BND2_L6	184	36.998	-0.11852	0.00000	0.11852	1	270	480	0.144	0.144	0.576
BND2_L6	185	37.198	-0.11852	0.00000	0.11852	1	270	480	0.137	0.142	0.580
BND2_L6	186	37.398	-0.11481	0.00000	0.11481	1	270	480	0.126	0.146	0.580
BND2_L6	187	37.598	-0.11481	0.00000	0.11481	1	270	480	0.104	0.133	0.584
BND2_L6	188	37.800	-0.14074	0.00000	0.14074	1	270	480	0.093	0.131	0.584
BND2_L6	189	38.000	-0.18148	0.00000	0.18148	1	270	480	0.093	0.127	0.576
BND2_L6	190	38.200	-0.17037	0.00000	0.17037	1	270	480	0.093	0.123	0.588
BND2_L6	191	38.400	-0.14444	0.00000	0.14444	1	270	480	0.078	0.140	0.584
BND2_L6	192	38.600	-0.04444	0.00000	0.04444	1	270	480	0.081	0.146	0.576
BND2_L6	193	38.800	-0.00000	0.01250	0.01250	1	270	480	0.093	0.131	0.576
BND2_L6	194	39.000	-0.00000	0.01042	0.01042	1	270	480	0.089	0.121	0.580
BND2_L6	195	39.200	-0.00000	0.00000	0.00000	1	270	480	0.074	0.117	0.576
BND2_L6	196	39.400	-0.00000	0.00000	0.00000	1	270	480	0.059	0.110	0.580
BND2_L6	197	39.600	-0.00000	0.00000	0.00000	1	270	480	0.081	0.108	0.580
BND2_L6	198	39.800	-0.01111	0.00000	0.01111	1	270	480	0.074	0.102	0.584
BND2_L6	202	40.600	0.02593	0.00000	0.02593	1	270	480	0.093	0.100	0.584
BND2_L6	203	40.800	0.02593	0.00833	0.02723	1	270	480	0.107	0.102	0.584
BND2_L6	204	41.000	-0.00000	0.01250	0.01250	1	270	480	0.119	0.108	0.580
BND2_L6	205	41.200	-0.00000	0.01875	0.01875	1	270	480	0.111	0.115	0.576
BND2_L6	206	41.400	-0.00000	0.01875	0.01875	1	270	480	0.119	0.119	0.573
BND2_L6	207	41.600	-0.00000	0.01458	0.01458	1	270	480	0.126	0.129	0.569
BND2_L6	208	41.800	-0.00000	0.01667	0.01667	1	270	480	0.126	0.135	0.565
BND2_L6	209	42.000	-0.00000	0.00833	0.00833	1	270	480	0.126	0.154	0.561
BND2_L6	210	42.200	-0.00000	0.00000	0.00000	1	270	480	0.122	0.165	0.561
BND2_L6	211	42.400	0.04444	-0.00208	0.04449	1	270	480	0.130	0.181	0.561
BND2_L6	212	42.600	0.07778	-0.00417	0.07789	1	270	480	0.152	0.198	0.569
BND2_L6	213	42.800	0.03704	-0.01667	0.04061	1	270	480	0.178	0.212	0.561
BND2_L6	214	43.000	-0.00000	-0.02500	0.02500	1	270	480	0.207	0.229	0.557
BND2_L6	215	43.200	-0.45926	-0.02292	0.45983	0	270	480	0.207	0.237	0.561
BND2_L6	216	43.400	-0.47407	-0.01667	0.47437	0	270	480	0.178	0.287	0.569
BND2_L6	217	43.600	-0.00370	-0.01458	0.01505	1	270	480	0.133	0.296	0.580
BND2_L6	218	43.800	0.04444	-0.01250	0.04617	1	270	480	0.137	0.283	0.580
BND2_L6	219	44.000	0.00741	-0.00625	0.00969	1	270	480	0.174	0.258	0.576
BND2_L6	220	44.200	-0.00370	0.00000	0.00370	1	270	480	0.178	0.225	0.573
